,5 Minutes,Lane 1 Flow (Veh/5 Minutes),# Lane Points,% Observed
382,05/01/2016 7:50,63,1,100
383,05/01/2016 7:55,74,1,100
384,05/01/2016 8:00,85,1,100
385,05/01/2016 8:05,91,1,100
386,05/01/2016 8:10,73,1,100
387,05/01/2016 8:15,80,1,100
388,05/01/2016 8:20,70,1,100
389,05/01/2016 8:25,69,1,100
390,05/01/2016 8:30,69,1,100
391,05/01/2016 8:35,63,1,100
392,05/01/2016 8:40,77,1,100
393,05/01/2016 8:45,59,1,100
394,05/01/2016 8:50,65,1,100
395,05/01/2016 8:55,63,1,100
396,05/01/2016 9:00,56,1,100
397,05/01/2016 9:05,57,1,100
398,05/01/2016 9:10,66,1,100
399,05/01/2016 9:15,73,1,100
400,05/01/2016 9:20,63,1,100
401,05/01/2016 9:25,70,1,100
402,05/01/2016 9:30,80,1,100
403,05/01/2016 9:35,79,1,100
404,05/01/2016 9:40,90,1,100
405,05/01/2016 9:45,87,1,100
406,05/01/2016 9:50,83,1,100
407,05/01/2016 9:55,59,1,100
408,05/01/2016 10:00,78,1,100
409,05/01/2016 10:05,63,1,100
410,05/01/2016 10:10,71,1,100
411,05/01/2016 10:15,73,1,100
412,05/01/2016 10:20,76,1,100
413,05/01/2016 10:25,90,1,100
414,05/01/2016 10:30,70,1,100
415,05/01/2016 10:35,83,1,100
416,05/01/2016 10:40,74,1,100
417,05/01/2016 10:45,87,1,100
418,05/01/2016 10:50,75,1,100
419,05/01/2016 10:55,85,1,100
420,05/01/2016 11:00,80,1,100
421,05/01/2016 11:05,69,1,100
422,05/01/2016 11:10,72,1,100
423,05/01/2016 11:15,75,1,100
424,05/01/2016 11:20,77,1,100
425,05/01/2016 11:25,72,1,100
426,05/01/2016 11:30,64,1,100
427,05/01/2016 11:35,90,1,100
428,05/01/2016 11:40,89,1,100
429,05/01/2016 11:45,53,1,100
430,05/01/2016 11:50,46,1,100
431,05/01/2016 11:55,47,1,100
432,05/01/2016 12:00,41,1,100
433,05/01/2016 12:05,83,1,100
434,05/01/2016 12:10,63,1,100
435,05/01/2016 12:15,76,1,100
436,05/01/2016 12:20,71,1,100
437,05/01/2016 12:25,47,1,100
438,05/01/2016 12:30,72,1,100
439,05/01/2016 12:35,71,1,100
440,05/01/2016 12:40,37,1,100
441,05/01/2016 12:45,17,1,100
442,05/01/2016 12:50,74,1,100
443,05/01/2016 12:55,72,1,100
444,05/01/2016 13:00,80,1,100
445,05/01/2016 13:05,69,1,100
446,05/01/2016 13:10,62,1,100
447,05/01/2016 13:15,57,1,100
448,05/01/2016 13:20,65,1,100
449,05/01/2016 13:25,51,1,100
450,05/01/2016 13:30,61,1,100
451,05/01/2016 13:35,69,1,100
452,05/01/2016 13:40,77,1,100
453,05/01/2016 13:45,31,1,100
454,05/01/2016 13:50,95,1,100
455,05/01/2016 13:55,77,1,100
456,05/01/2016 14:00,64,1,100
457,05/01/2016 14:05,69,1,100
458,05/01/2016 14:10,57,1,100
459,05/01/2016 14:15,74,1,100
460,05/01/2016 14:20,73,1,100
461,05/01/2016 14:25,70,1,100
462,05/01/2016 14:30,74,1,100
463,05/01/2016 14:35,65,1,100
464,05/01/2016 14:40,73,1,100
465,05/01/2016 14:45,87,1,100
466,05/01/2016 14:50,56,1,100
467,05/01/2016 14:55,71,1,100
468,05/01/2016 15:00,51,1,100
469,05/01/2016 15:05,67,1,100
470,05/01/2016 15:10,65,1,100
471,05/01/2016 15:15,79,1,100
472,05/01/2016 15:20,95,1,100
473,05/01/2016 15:25,81,1,100
474,05/01/2016 15:30,79,1,100
475,05/01/2016 15:35,92,1,100
476,05/01/2016 15:40,103,1,100
477,05/01/2016 15:45,83,1,100
478,05/01/2016 15:50,89,1,100
479,05/01/2016 15:55,71,1,100
480,05/01/2016 16:00,72,1,100
481,05/01/2016 16:05,74,1,100
482,05/01/2016 16:10,81,1,100
483,05/01/2016 16:15,77,1,100
484,05/01/2016 16:20,80,1,100
485,05/01/2016 16:25,86,1,100
486,05/01/2016 16:30,78,1,100
487,05/01/2016 16:35,73,1,100
488,05/01/2016 16:40,82,1,100
489,05/01/2016 16:45,70,1,100
490,05/01/2016 16:50,83,1,100
491,05/01/2016 16:55,81,1,100
492,05/01/2016 17:00,75,1,100
493,05/01/2016 17:05,80,1,100
494,05/01/2016 17:10,81,1,100
495,05/01/2016 17:15,95,1,100
496,05/01/2016 17:20,95,1,100
497,05/01/2016 17:25,77,1,100
498,05/01/2016 17:30,81,1,100
499,05/01/2016 17:35,68,1,100
500,05/01/2016 17:40,66,1,100
501,05/01/2016 17:45,80,1,100
502,05/01/2016 17:50,75,1,100
503,05/01/2016 17:55,62,1,100
504,05/01/2016 18:00,74,1,100
505,05/01/2016 18:05,81,1,100
506,05/01/2016 18:10,71,1,100
507,05/01/2016 18:15,75,1,100
508,05/01/2016 18:20,80,1,100
509,05/01/2016 18:25,66,1,100
510,05/01/2016 18:30,72,1,100
511,05/01/2016 18:35,61,1,100
512,05/01/2016 18:40,62,1,100
513,05/01/2016 18:45,60,1,100
514,05/01/2016 18:50,64,1,100
515,05/01/2016 18:55,55,1,100
516,05/01/2016 19:00,70,1,100
517,05/01/2016 19:05,51,1,100
518,05/01/2016 19:10,60,1,100
519,05/01/2016 19:15,51,1,100
520,05/01/2016 19:20,60,1,100
521,05/01/2016 19:25,58,1,100
522,05/01/2016 19:30,49,1,100
523,05/01/2016 19:35,51,1,100
524,05/01/2016 19:40,58,1,100
525,05/01/2016 19:45,37,1,100
526,05/01/2016 19:50,40,1,100
527,05/01/2016 19:55,45,1,100
528,05/01/2016 20:00,48,1,100
529,05/01/2016 20:05,39,1,100
530,05/01/2016 20:10,45,1,100
531,05/01/2016 20:15,56,1,100
532,05/01/2016 20:20,44,1,100
533,05/01/2016 20:25,47,1,100
534,05/01/2016 20:30,37,1,100
535,05/01/2016 20:35,37,1,100
536,05/01/2016 20:40,43,1,100
537,05/01/2016 20:45,37,1,100
538,05/01/2016 20:50,48,1,100
539,05/01/2016 20:55,43,1,100
540,05/01/2016 21:00,28,1,100
541,05/01/2016 21:05,40,1,100
542,05/01/2016 21:10,41,1,100
543,05/01/2016 21:15,36,1,100
544,05/01/2016 21:20,47,1,100
545,05/01/2016 21:25,33,1,100
546,05/01/2016 21:30,30,1,100
547,05/01/2016 21:35,30,1,100
548,05/01/2016 21:40,31,1,100
549,05/01/2016 21:45,27,1,100
550,05/01/2016 21:50,35,1,100
551,05/01/2016 21:55,24,1,100
552,05/01/2016 22:00,21,1,100
553,05/01/2016 22:05,25,1,100
554,05/01/2016 22:10,26,1,100
555,05/01/2016 22:15,31,1,100
556,05/01/2016 22:20,29,1,100
557,05/01/2016 22:25,25,1,100
558,05/01/2016 22:30,25,1,100
559,05/01/2016 22:35,20,1,100
560,05/01/2016 22:40,19,1,100
561,05/01/2016 22:45,15,1,100
562,05/01/2016 22:50,18,1,100
563,05/01/2016 22:55,13,1,100
564,05/01/2016 23:00,13,1,100
565,05/01/2016 23:05,13,1,100
566,05/01/2016 23:10,18,1,100
567,05/01/2016 23:15,15,1,100
568,05/01/2016 23:20,12,1,100
569,05/01/2016 23:25,12,1,100
570,05/01/2016 23:30,8,1,100
571,05/01/2016 23:35,14,1,100
572,05/01/2016 23:40,13,1,100
573,05/01/2016 23:45,15,1,100
574,05/01/2016 23:50,16,1,100
575,05/01/2016 23:55,12,1,100
576,06/01/2016 0:00,13,1,100
577,06/01/2016 0:05,5,1,100
578,06/01/2016 0:10,7,1,100
579,06/01/2016 0:15,8,1,100
580,06/01/2016 0:20,8,1,100
581,06/01/2016 0:25,6,1,100
582,06/01/2016 0:30,9,1,100
583,06/01/2016 0:35,10,1,100
584,06/01/2016 0:40,11,1,100
585,06/01/2016 0:45,2,1,100
586,06/01/2016 0:50,7,1,100
587,06/01/2016 0:55,4,1,100
588,06/01/2016 1:00,9,1,100
589,06/01/2016 1:05,4,1,100
590,06/01/2016 1:10,7,1,100
591,06/01/2016 1:15,7,1,100
592,06/01/2016 1:20,6,1,100
593,06/01/2016 1:25,11,1,100
594,06/01/2016 1:30,3,1,100
595,06/01/2016 1:35,3,1,100
596,06/01/2016 1:40,4,1,100
597,06/01/2016 1:45,2,1,100
598,06/01/2016 1:50,1,1,100
599,06/01/2016 1:55,7,1,100
600,06/01/2016 2:00,5,1,100
601,06/01/2016 2:05,4,1,100
602,06/01/2016 2:10,1,1,100
603,06/01/2016 2:15,4,1,100
604,06/01/2016 2:20,3,1,100
605,06/01/2016 2:25,1,1,100
606,06/01/2016 2:30,4,1,100
607,06/01/2016 2:35,5,1,100
608,06/01/2016 2:40,2,1,100
609,06/01/2016 2:45,2,1,100
610,06/01/2016 2:50,7,1,100
611,06/01/2016 2:55,3,1,100
612,06/01/2016 3:00,5,1,100
613,06/01/2016 3:05,3,1,100
614,06/01/2016 3:10,2,1,100
615,06/01/2016 3:15,5,1,100
616,06/01/2016 3:20,7,1,100
617,06/01/2016 3:25,5,1,100
618,06/01/2016 3:30,1,1,100
619,06/01/2016 3:35,10,1,100
620,06/01/2016 3:40,10,1,100
621,06/01/2016 3:45,13,1,100
622,06/01/2016 3:50,8,1,100
623,06/01/2016 3:55,8,1,100
624,06/01/2016 4:00,11,1,100
625,06/01/2016 4:05,9,1,100
626,06/01/2016 4:10,11,1,100
627,06/01/2016 4:15,15,1,100
628,06/01/2016 4:20,14,1,100
629,06/01/2016 4:25,17,1,100
630,06/01/2016 4:30,10,1,100
631,06/01/2016 4:35,33,1,100
632,06/01/2016 4:40,34,1,100
633,06/01/2016 4:45,28,1,100
634,06/01/2016 4:50,41,1,100
635,06/01/2016 4:55,35,1,100
636,06/01/2016 5:00,49,1,100
637,06/01/2016 5:05,38,1,100
638,06/01/2016 5:10,51,1,100
639,06/01/2016 5:15,57,1,100
640,06/01/2016 5:20,61,1,100
641,06/01/2016 5:25,60,1,100
642,06/01/2016 5:30,77,1,100
643,06/01/2016 5:35,79,1,100
644,06/01/2016 5:40,108,1,100
645,06/01/2016 5:45,81,1,100
646,06/01/2016 5:50,101,1,100
647,06/01/2016 5:55,112,1,100
648,06/01/2016 6:00,97,1,100
649,06/01/2016 6:05,107,1,100
650,06/01/2016 6:10,101,1,100
651,06/01/2016 6:15,110,1,100
652,06/01/2016 6:20,124,1,100
653,06/01/2016 6:25,132,1,100
654,06/01/2016 6:30,117,1,100
655,06/01/2016 6:35,160,1,100
656,06/01/2016 6:40,167,1,100
657,06/01/2016 6:45,160,1,100
658,06/01/2016 6:50,174,1,100
659,06/01/2016 6:55,159,1,100
660,06/01/2016 7:00,186,1,100
661,06/01/2016 7:05,144,1,100
662,06/01/2016 7:10,141,1,100
663,06/01/2016 7:15,118,1,100
664,06/01/2016 7:20,103,1,100
665,06/01/2016 7:25,95,1,100
666,06/01/2016 7:30,73,1,100
667,06/01/2016 7:35,85,1,100
668,06/01/2016 7:40,85,1,100
669,06/01/2016 7:45,73,1,100
670,06/01/2016 7:50,76,1,100
671,06/01/2016 7:55,73,1,100
672,06/01/2016 8:00,91,1,100
673,06/01/2016 8:05,82,1,100
674,06/01/2016 8:10,88,1,100
675,06/01/2016 8:15,96,1,100
676,06/01/2016 8:20,78,1,100
677,06/01/2016 8:25,91,1,100
678,06/01/2016 8:30,82,1,100
679,06/01/2016 8:35,63,1,100
680,06/01/2016 8:40,80,1,100
681,06/01/2016 8:45,81,1,100
682,06/01/2016 8:50,93,1,100
683,06/01/2016 8:55,79,1,100
684,06/01/2016 9:00,70,1,100
685,06/01/2016 9:05,99,1,100
686,06/01/2016 9:10,82,1,100
687,06/01/2016 9:15,117,1,100
688,06/01/2016 9:20,102,1,100
689,06/01/2016 9:25,113,1,100
690,06/01/2016 9:30,112,1,100
691,06/01/2016 9:35,122,1,100
692,06/01/2016 9:40,94,1,100
693,06/01/2016 9:45,118,1,100
694,06/01/2016 9:50,118,1,100
695,06/01/2016 9:55,109,1,100
696,06/01/2016 10:00,130,1,100
697,06/01/2016 10:05,103,1,100
698,06/01/2016 10:10,95,1,100
699,06/01/2016 10:15,94,1,100
700,06/01/2016 10:20,89,1,100
701,06/01/2016 10:25,118,1,100
702,06/01/2016 10:30,103,1,100
703,06/01/2016 10:35,112,1,100
704,06/01/2016 10:40,102,1,100
705,06/01/2016 10:45,108,1,100
706,06/01/2016 10:50,96,1,100
707,06/01/2016 10:55,88,1,100
708,06/01/2016 11:00,91,1,100
709,06/01/2016 11:05,91,1,100
710,06/01/2016 11:10,89,1,100
711,06/01/2016 11:15,94,1,100
712,06/01/2016 11:20,75,1,100
713,06/01/2016 11:25,89,1,100
714,06/01/2016 11:30,79,1,100
715,06/01/2016 11:35,72,1,100
716,06/01/2016 11:40,76,1,100
717,06/01/2016 11:45,64,1,100
718,06/01/2016 11:50,75,1,100
719,06/01/2016 11:55,71,1,100
720,06/01/2016 12:00,61,1,100
721,06/01/2016 12:05,71,1,100
722,06/01/2016 12:10,76,1,100
723,06/01/2016 12:15,67,1,100
724,06/01/2016 12:20,96,1,100
725,06/01/2016 12:25,89,1,100
726,06/01/2016 12:30,100,1,100
727,06/01/2016 12:35,84,1,100
728,06/01/2016 12:40,76,1,100
729,06/01/2016 12:45,78,1,100
730,06/01/2016 12:50,94,1,100
731,06/01/2016 12:55,62,1,100
